Categoria;Item;Fornecedor;Tipo;Unidade;Custo ref (USD);Custo real (preencher);Creditos (1=1 imagem);Gasto atual/mes (USD);Onde no codigo;Observacoes
Infra;Netlify (hosting + functions + background);Netlify;Fixo;por mes;19,00;;;20,00;Todas as functions;Tier atual ~20/mes. Sobe com invocacoes
Infra;Dominio;Registrar;Fixo;por ano;15,00;;;;—;Custo anual
Infra;E-mail transacional;(a definir);Fixo;por mes;0,00;;;;admin-invite.js;Hoje via Supabase Auth? Confirmar
Infra;Monitoring / erros (Sentry etc);(a definir);Fixo;por mes;0,00;;;;—;Ainda nao implementado
# === STORAGE (Cloudflare R2) ===;;;;;;;;;;Egress ZERO
Storage;R2 - armazenamento;Cloudflare;Variavel;por GB/mes;0,015;;;;_storage.js / R2_BUCKET;Imagens geradas acumulam
Storage;R2 - operacoes escrita (Class A);Cloudflare;Variavel;por 1M ops;4,50;;;;_storage.js putObject;
Storage;R2 - operacoes leitura (Class B);Cloudflare;Variavel;por 1M ops;0,36;;;;_storage.js;
Storage;R2 - egress (saida);Cloudflare;Variavel;por GB;0,00;;;;R2_PUBLIC_URL;ZERO - vantagem do R2
# === PAGAMENTOS (Stripe) ===;;;;;;;;;;Sai da receita - reduz margem liquida
Pagamentos;Stripe - taxa por transacao (%);Stripe;Variavel;% da cobranca;0,0399;;;;stripe-checkout.js / stripe-webhook.js;~3,99% (cartao BR - confirmar)
Pagamentos;Stripe - taxa fixa por transacao;Stripe;Variavel;por cobranca;0,07;;;;stripe-webhook.js;~R$0,39 fixo por cobranca
# === DESENVOLVIMENTO ===;;;;;;;;;;Custo fixo que domina - amortizado na base
Desenvolvimento;Build inicial (capex / sunk);Voce;Unico;total;;;;;—;Investimento ja feito - para valuation
Desenvolvimento;Manutencao + evolucao;Voce / dev;Fixo;por mes;;;;;—;Seu tempo ou folha. PREENCHER - e o maior custo
# === OPERACOES COMPOSTAS (insumo -> credito) ===;;;;;;;;;;Custo por feature = soma dos insumos acima
Operacao;Imagem (1 geracao);(composto);Variavel;por imagem;0,039;;1;;studio-generate.js;fal imagem
Operacao;Campanha (4 formatos);(composto);Variavel;por campanha;0,16;;4;;studio-campaign.js;4x imagem
Operacao;Diagnostico;(composto);Variavel;por diagnostico;0,20;;5;;diagnostico-gerar-background.js;Sonnet 4.6 + web search
Operacao;Coleta Social Listening;(composto);Variavel;por coleta;0,35;;9;;listening-coletar-background.js;Sonnet 4.6 + web search (varias chamadas)
Operacao;Geracao Content Hub;(composto);Variavel;por geracao;0,08;;2;;content-hub-gerar-background.js;Haiku + Sonnet
Operacao;Msg Brand Assistant;(composto);Variavel;por mensagem;0,03;;1;;brand-book-search.js + LLM;RAG + Sonnet
Operacao;Extracao de manual (PDF);(composto);Variavel;por manual;0,25;;—;;brand-manual-extract-background.js;Opus 4.7 + PDF. One-time por marca
